time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.2053,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2063,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2073,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.20829,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2093,0,0,0.045,2.25999,5.46,62.65999,0.067,-0.398,-0.20099
0.2103,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2113,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2123,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2133,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2143,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.21529,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2163,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2173,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2183,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2193,0,0,0.045,2.33999,5.38,62.65999,0.06599,-0.398,-0.20099
0.2203,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2213,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2223,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2233,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2243,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2253,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
0.2263,0,0,0.045,2.33999,5.33999,62.66999,0.06599,-0.4,-0.20099
